VAR;LOC;ID;1:F;1:Fm';1:Temp;1:Y (II);1:Fo';1:qP;1:qN;1:qL;1:NPQ;1:Y (NO);1:Y (NPQ);1:Fo;1:Fm;1:Fv/Fm
CBD_C;a;L1;39;112;9;0.652;16;0.76;-0.011;0.312;-0.009;0.351;-0.003;16;111;0.856
CBD_C;b;L2;41;109;9.3;0.624;27;0.829;0;0.546;0;0.376;0;27;109;0.752
CBD_C;c;L3;37;95;9.3;0.611;26;0.841;0.042;0.591;0.032;0.378;0.011;26;98;0.735
CBD_C;d;L4;42;118;9;0.644;20;0.776;-0.043;0.37;-0.034;0.368;-0.012;20;114;0.825
CBD_P;a;L5;42;113;10.4;0.628;22;0.78;-0.152;0.409;-0.115;0.42;-0.048;21;100;0.79
CBD_P;b;L6;42;107;10.4;0.607;19;0.739;0;0.334;0;0.393;0;19;107;0.822
CBD_P;c;L7;38;107;9.8;0.645;17;0.767;-0.011;0.343;-0.009;0.358;-0.003;17;106;0.84
CBD_P;d;L8;39;94;10;0.585;20;0.743;0;0.381;0;0.415;0;20;94;0.787
CBD_V;a;L9;52;164;9.2;0.683;28;0.824;-0.015;0.444;-0.012;0.321;-0.004;28;162;0.827
CBD_V;b;L10;43;128;9.2;0.664;25;0.825;-0.01;0.48;-0.008;0.339;-0.003;25;127;0.803
CBD_V;c;L11;36;98;9;0.633;21;0.805;0.025;0.47;0.02;0.36;0.007;21;100;0.79
CBD_V;d;L12;48;136;9;0.647;27;0.807;0;0.454;0;0.353;0;27;136;0.801
CBD_C;a;L13;108;348;8.8;0.69;59;0.83;0.003;0.453;0.003;0.309;0.001;59;349;0.831
CBD_C;b;L14;88;299;9;0.706;56;0.868;0.016;0.552;0.013;0.29;0.004;56;303;0.815
CBD_C;c;L15;93;291;9;0.68;53;0.832;0.029;0.474;0.024;0.312;0.008;53;298;0.822
CBD_C;d;L16;107;336;9;0.682;62;0.836;-0.004;0.484;-0.003;0.319;-0.001;62;335;0.815
CBD_P;a;L17;94;289;8.8;0.675;53;0.826;0.017;0.466;0.014;0.321;0.004;53;293;0.819
CBD_P;b;L18;108;327;8.8;0.67;56;0.808;0.022;0.419;0.018;0.324;0.006;56;333;0.832
CBD_P;c;L19;114;360;8.6;0.683;63;0.828;0;0.458;0;0.317;0;63;360;0.825
CBD_P;d;L20;89;288;8.8;0.691;53;0.847;0.008;0.504;0.007;0.307;0.002;53;290;0.817
CBD_V;a;L21;93;290;8.6;0.679;49;0.817;0;0.43;0;0.321;0;49;290;0.831
CBD_V;b;L22;102;329;8.6;0.69;56;0.832;0.004;0.457;0.003;0.309;0.001;56;330;0.83
CBD_V;c;L23;98;321;8.6;0.695;52;0.829;-0.004;0.44;-0.003;0.306;-0.001;52;320;0.838
CBD_V;d;L24;98;332;8.8;0.705;59;0.857;0.014;0.516;0.012;0.292;0.003;59;336;0.824
CBD_C;a;L25;97;314;9.5;0.691;57;0.844;0.008;0.496;0.006;0.307;0.002;57;316;0.82
CBD_C;b;L26;85;266;9.5;0.68;55;0.858;0.005;0.555;0.004;0.318;0.002;55;267;0.794
CBD_C;c;L27;93;272;9.8;0.658;47;0.796;0.013;0.402;0.011;0.338;0.004;47;275;0.829
CBD_C;d;L28;97;308;9.8;0.685;57;0.841;0;0.494;0;0.315;0;57;308;0.815
CBD_P;a;L29;112;330;9.8;0.661;52;0.784;0;0.364;0;0.339;0;52;330;0.842
